9DJN	Adventure Time - Hey Ice King! Why'd You Steal Our Garbage!! (USA) (Beta)
A2AA	Pokemon Ultra Sun (USA) (En,Ja,Fr,De,Es,It,Zh,Ko)
A2BA	Pokemon Ultra Moon (USA) (En,Ja,Fr,De,Es,It,Zh,Ko)
A3RE	Mario & Luigi - Bowser's Inside Story + Bowser Jr.'s Journey (USA)
A3RP	Mario & Luigi - Bowser's Inside Story + Bowser Jr.'s Journey (Europe) (En,Fr,De,Es,It)
A49E	Go! Go! Kokopolo 3D - Space Recipe For Disaster (USA)
A4AE	Fragrant Story (USA)
A5LE	Go! Go! Kokopolo - Harmonious Forest Revenge (USA)
A66E	Samurai Warriors - Chronicles (USA)
A66P	Samurai Warriors - Chronicles (Europe)
A8FE	Farming Simulator 18 (USA)
A8FP	Farming Simulator 18 (Europe) (En,Fr,De,Es,It,Pt,Pl,Ru)
A98A	Detective Pikachu (USA) (En,Ja,Fr,De,Es,It,Zh)
A9AE	Metroid - Samus Returns (USA) (En,Fr,Es)
A9AP	Metroid - Samus Returns (Europe) (En,Fr,De,Es,It,Nl)
A9EP	Dillon's Dead-Heat Breakers (Europe) (En,Fr,De,Es,It)
AA6P	I Love My Pets (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)
AA8E	LEGO City Undercover - The Chase Begins (USA) (En,Fr,Es)
AA8P	LEGO City Undercover - The Chase Begins (Europe) (En,Fr,De,Es,It,Nl,Pt,Da,Ru)
AA9E	Moshi Monsters - Moshlings Theme Park (USA)
AA9P	Moshi Monsters - Moshlings Theme Park (Europe)
AABE	Tales of the Abyss (USA)
AABP	Tales of the Abyss (Europe)
AACE	Art Academy - Lessons for Everyone! (USA) (En,Fr,Es)
AACP	New Art Academy (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru)
AAEP	Games Festival 1 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)
AAFP	Games Festival 2 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)
AAGP	Puzzler Brain Games (Europe) (En,Fr,De,Es,It)
AAHE	Monster Hunter Stories (USA)
AAHP	Monster Hunter Stories (Europe) (En,Fr,De,Es,It,Nl)
AAJP	Mystery Murders - Jack the Ripper (Europe) (En,Fr)
AANE	Turbo - Super Stunt Squad (USA) (En,Fr,Es)
AANP	Turbo - Super Stunt Squad (Europe) (En,Fr,De,Es,It)
AAPP	My Riding Stables 3D - Jumping for the Team (Europe) (En,Fr,De,It,Nl)
AAQP	Mystery Case Files - Ravenhearst (Europe) (En,Fr,De,Nl)
AASP	Hidden Expedition - Titanic (Europe) (En,Fr,De,Nl)
AAVE	Barbie Dreamhouse Party (USA) (En,Fr,Es)
AAVP	Barbie Dreamhouse Party (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)
AAWE	Phineas and Ferb - Quest for Cool Stuff (USA)
AAWP	Phineas and Ferb - Quest for Cool Stuff (Europe) (En,Fr,De,Es,It)
AAZE	Cars 2 (USA) (En,Fr,Es)
AAZP	Cars 2 (Europe) (En,Fr,De,Es,It,Nl)
AAZZ	Cars 2 (Europe) (En,Sv,No,Da,Fi)
AB2P	Bella Sara - The Magical Horse Adventures (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)
AB5E	Bratz - Fashion Boutique (USA)
AB6P	Bowling Bonanza 3D (Europe) (En,Fr,De,Es,It,Nl)
AB7P	Cocoto - Alien Brick Breaker (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)
ABAE	Imagine - Babyz (USA) (En,Fr,Es)
ABAP	Imagine - Babies 3D (Europe) (En,Fr,De,Es,It,Nl)
ABBE	Bust-A-Move Universe (USA) (En,Fr,Es)
ABBP	Puzzle Bobble Universe (Europe) (En,Fr,De,Es,It)
ABEE	New Super Mario Bros. 2 (USA) (En,Fr,Es)
ABEP	New Super Mario Bros. 2 (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru)
ABLP	Blazblue - Continuum Shift II (Europe) (En,Ja,Zh,Ko)
ABLZ	Blazblue - Continuum Shift II (USA) (En,Ja,Zh,Ko)
ABME	Resident Evil - The Mercenaries 3D (USA) (En,Fr)
ABMP	Resident Evil - The Mercenaries 3D (Europe) (En,Fr,De,Es,It)
ABNE	Ben 10 - Galactic Racing (USA) (En,Fr,Es)
ABNP	Ben 10 - Galactic Racing (Europe) (En,Fr,De,Es,It)
ABQE	Harvest Moon 3D - A New Beginning (USA)
ABQP	Harvest Moon 3D - A New Beginning (Europe)
ABRE	Resident Evil - Revelations (USA) (En,Ja,Fr,De,Es,It)
ABRP	Resident Evil - Revelations (Europe) (En,Ja,Fr,De,Es,It)
ABSE	Battleship (USA) (En,Fr)
ABSP	Battleship (Europe) (En,Fr,De,Es,It)
ABTE	Bit.Trip Saga (USA)
ABTP	Bit.Trip Saga (Europe)
ABUP	My Exotic Farm (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)
ABVE	Ben 10 - Omniverse (USA) (En,Fr,Es)
ABVP	Ben 10 - Omniverse (Europe) (En,Fr,De,Es,It,Ru)
ABWE	Brunswick Pro Bowling (USA)
