001F4754	NBA 3 on 3 Featuring Kobe Bryant (USA) (SGB Enhanced) (GB Compatible)
00A14D18	TNN Outdoors Fishing Champ (USA) (SGB Enhanced) (GB Compatible)
017773CD	Top Gear Rally 2 (Europe)
01F1FCEE	Digimon Adventure 2001 (USA)
025AA88A	Dragon Ball Z - Legendary Super Warriors (USA)
025F305D	Gex 3 - Deep Cover Gecko (Europe) (En,Fr,De,Es,It)
02BB005E	Smickeonn - The Game Deluxe (World) (GB Compatible)
02C1035A	Tomb Raider - Curse of the Sword (USA, Europe)
031A82DC	Super Marrio Sunshine (Taiwan) (En)
03CE8D9A	Pokemon Pinball (USA, Australia) (Rumble Version) (SGB Enhanced) (GB Compatible)
0424CF43	Woody Woodpecker Racing (USA)
043A17B3	Megaman X4 (Taiwan) (En) (Rumble Version)
047BDF80	Wario Land II (USA, Europe) (SGB Enhanced) (GB Compatible)
04B0C5D6	Metal Gear Solid (USA)
04C8C858	Action Replay Online (Europe)
04FE7790	Cool Bricks (Europe) (En,Fr,De,Es,It)
050CAA5E	Expiration Date (World) (GB Compatible)
0510D601	Mario Tennis (Europe)
0518F5AA	Tiny Grasshopper Goes Away (World) (En,Hu) (v1.2) (GB Compatible)
053BC315	Gremlins - Unleashed (Europe) (En,Fr,De,Es,It,Pt)
05CC01FB	LEGO Stunt Rally (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da)
05D5D28F	Chromanoids (World) (v1.1)
0601BEF6	Perfect Dark (USA, Europe) (En,Fr,De,Es,It) (Rumble Version)
0602DBE1	Dragon Dance (USA) (SGB Enhanced) (GB Compatible)
0634C196	Full Time Soccer & Hang Time Basketball (Europe)
0639F43F	GB-Wordyl - Latin (World) (v1.0.3) (SGB Enhanced) (GB Compatible)
066A2196	Winnie the Pooh - Adventures in the 100 Acre Wood (USA)
06887A34	Legend of Zelda, The - Link's Awakening DX (USA, Europe) (Rev 2) (SGB Enhanced) (GB Compatible)
06C8E50A	Fort Boyard (Europe) (En,Fr,De,Es,It,Nl,Pt)
06EB7A01	Puzzle Master (USA) (GB Compatible)
07354EC8	Super Dassalo Land (World) (v1.1)
0777B8D7	Microsoft - The 6 in 1 Puzzle Collection Entertainment Pack (USA)
0795DE60	Capybara Quest (World) (v1.0) (GB Compatible)
07A13B5B	Donald Duck - Quack Attack (Europe) (En,Fr,De,Es,It)
086106DE	E.T. - The Extra-Terrestrial - Escape from Planet Earth (USA)
08906220	Harvest Moon 2 GBC (USA) (SGB Enhanced) (GB Compatible)
08B37AD8	Dicee! (World) (v1.1) (GB Compatible)
08B9E4AA	Flipper & Lopaka (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da)
08E3D065	Doug's Big Game (USA)
090C7DAC	NFL Blitz 2000 (USA)
09196A32	Ravenia (World) (GB Compatible)
096D0C27	Toonsylvania (USA)
099D6555	Catz (Europe)
09DAA18D	Wacky Painter (World)
09EE93A8	Barbie - Fashion Pack Games (USA, Europe) (GB Compatible)
0A0F9289	Toki Tori (USA, Europe) (En,Ja,Fr,De,Es)
0A109F13	LEGO Racers (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da)
0A421839	Magical Tetris Challenge (Europe) (En,Fr,De,Es,It,Nl,Sv)
0A504426	4 in 1 + 8 in 1 (World) (4B-007, 4B-008, 8B-004, Sachen)
0AA8D0CC	Dinosaur (Europe) (En,Fr,De,Es,It)
0AD5B775	Pocket Smash Out & Race Time (Europe)
0AF32BAA	Mission - Impossible (Europe) (En,Fr,De,Es,It)
0B7FC436	OutRun GB (World)
0BC7A3C6	Beast Fighter (Taiwan) (En) (Sachen)
0BCBE728	Digimon 02 5 (USA)
0C22466D	2003 King Lion Advance III (USA)
0C347734	Vixen (World)
0CE45101	Tynesoft Commodore 16 Classics II (World)
0D1BB2F7	Agency (World)
0D464785	Bitterroot (World) (En) (GB Compatible)
0D60B100	Atop the Witch's Tower (World) (v1.1) (GB Compatible)
0DB301C2	Pact, The (World) (GB Showdown)
0DFD765F	Gunslinger (World)
0E1465CB	Wild Thornberrys, The - Rambler (USA)
0E697582	Star Wars Episode I - Obi-Wan's Adventures (USA)
0EBC5758	Star Wars Episode I - Racer (USA, Europe) (Rumble Version)
0F02D708	Microsoft - The Best of Entertainment Pack (Europe)
0F69F574	No Fear - Downhill Mountain Biking (Europe)
0F7264BA	Suzuki Alstare Extreme Racing (Europe) (En,Fr,De,Es,It,Nl)
0FAFA3F2	Jim Henson's Muppets (Europe) (En,Fr,De,Es,It,Nl,Sv)
0FD51F93	Bubble Frog (World) (GB Compatible)
0FD9C59C	Dragon Warrior III (USA)
0FDD5B9E	Test Drive Off-Road 3 (USA) (Rumble Version) (SGB Enhanced) (GB Compatible)
0FF2779C	Chumbles Bumbles (World) (v1.2) (GB Compatible)
103E212D	Ms. Pac-Man - Special Color Edition (USA) (SGB Enhanced) (GB Compatible)
107D734B	NFL Blitz (USA, Europe) (Rev 1) (GB Compatible)
10854C85	Capybara Quest (World) (v1.1) (GB Compatible)
10DBDE7C	Roland Garros French Open (Europe) (En,Fr,De,Es,It,Nl)
10DED9AB	Berks (World)
11025EEB	Road Rash (USA, Europe)
11763934	Mickey's Speedway USA (USA, Europe) (En,Fr,De,Es)
11B4788C	Marvin Strikes Back! (USA) (En,Fr,Es)
11FB5617	Looney Tunes - Carrot Crazy (USA) (En,Fr,Es) (GB Compatible)
1226499E	Action Man - Search for Base X (USA, Europe)
1271117F	Hamtaro - Ham-Hams Unite! (USA)
1292ECFB	Mount Vesuvius (World)
129465DB	Xtreme Wheels (USA)
12E00808	International Karate 2000 (Europe)
12F0C196	Catwoman (USA)
12FC1A6E	X-Men - Wolverine's Rage (USA)
1310D9A0	Cairn (World) (v1.4.4) (Batteryless) (GB Compatible)
1312B3F7	V-Rally - Championship Edition (Europe) (En,Fr,De,Es)
13691CEB	Test Drive 6 (Europe) (En,Fr,De,Es,It) (GB Compatible)
136E9D0C	Harry Potter and the Chamber of Secrets (USA, Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,Da)
137D7B45	Dragon Tales - Dragon Wings (Europe)
13AD07B1	Centipede (USA) (GB Compatible)
142B6EFB	Maya the Bee - Garden Adventures (Europe) (En,Fr,De,Es)
14355371	Koudai Guaishou - Dongzuo Pian (Taiwan) (En)
149A2951	Cuthbert Enters the Tombs of Doom (World)
14D1ADBE	Golden Goal (Germany) (En,Fr,De,Es,It,Nl,Sv) (GB Compatible)
14D8CC5D	Flintstones, The - Burgertime in Bedrock (USA)
15430979	Carl Lewis Athletics 2000 (Europe) (En,Fr,De,Es,It,Nl)
154CB547	Phantom Fright (World) (GB Compatible)
154CC020	Fire Ant (World)
15A06686	Snake Xenzia (World) (GB Compatible)
15B44D68	Puzzled (Europe) (En,Fr,De)
160CA990	Harvest Moon 2 GBC (Europe) (SGB Enhanced) (GB Compatible)
160E9E3C	Madden NFL 2001 (USA)
16297B29	Binary Monster 2 (Taiwan) (En)
16650A8B	Tobu Tobu Girl Deluxe (World) (GB Compatible)
16796957	Metal Gear Solid (Europe) (En,Fr,De,Es,It)
17635AD1	Rats! (USA) (En,Es) (GB Compatible)
1766E558	3-D Ultra Pinball - Thrillride (USA) (Rumble Version)
177F0B6E	Midterm Moments (World) (GB Compatible)
17D27FA9	Motocross Maniacs 2 (USA)
17E51443	Saban's Power Rangers - Time Force (USA, Europe)
18216E26	Missile Command (Europe)
1833FB38	Sesame Street - Elmo's 123s (USA) (GB Compatible)
183DBB31	Monsters, Inc. (USA, Europe)
18522BA7	Outta Time (World)
188B06F8	Terrifying 911 (China) (En)
190702B3	Gedou Jian Shen KF (Taiwan) (En)
191D31EC	Dragon Tales - Dragon Wings (USA)
195DBC30	Skycon (World)
1972CBF7	Tootuff (Europe) (En,Fr,De,Es,It,Nl)
19828751	Xtreme Sports (USA)
1A0BF4D7	WDL - World Destruction League - Thunder Tanks (USA) (En,Fr,De)
